id,signum,location,parish,province,country,municipality,county,landscape,longitude,latitude,coordinate_status,comment
6f36ac32-0e1d-4dff-9c27-3a43ad308a3a,KJ 59,Køng,Drothems socken,Fyn,Denmark,Söderköping,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
79ac8ada-e150-43ec-9981-bde134de2457,DR 41,Jelling kyrka Jylland,Vickleby socken,Jylland,Denmark,Mörbylånga,,,9.4197,55.7553,HAS_COORDINATES,COORDS_OK
caf94b05-9803-4cb4-b331-32a87bc5141b,DR 42,Jelling kyrka Jylland,Jelling sogn,Jylland,Denmark,Vejle,,,9.4197,55.7553,HAS_COORDINATES,COORDS_OK
9db58ff3-7cdd-4877-9a51-383180304145,KJ 06,Frøslev,,Jylland,Denmark,,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
23214d1d-1a70-4d72-a2e4-9639eb5f1460,KJ 10,Illerup,Tuna socken,Jylland,Denmark,Uppsala,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
347a05eb-8139-4591-9166-47a1ac0c8482,KJ 11,Illerup,Værløse sogn,Jylland,Denmark,Furesø,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
41d438c5-8470-4dcc-bbcc-9c7ac50062de,KJ 17,Illerup,Øvre Rendal sogn,Jylland,Denmark,Rendalen,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
00f64692-6f15-41e0-bdc6-db514df9ead5,KJ 18,Illerup,Åfjord sogn,Jylland,Denmark,Åfjord,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
0ad24f61-9d89-4e47-98da-103a5eb22a7a,KJ 19,Illerup,Sottrup sogn,Jylland,Denmark,Sønderborg,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
91758d89-966f-4c1a-8b51-5a774c4911cb,KJ 20,Strårup (Dalby),Süderbrarup,Jylland,Denmark,Süderbrarup,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
d545392a-2d96-4206-8b7e-11a8bd36750b,KJ 26,Illerup,Næsbyhoved Broby sogn,Jylland,Denmark,Odense,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
2dc52f5a-14b9-4249-b7f9-6463c66da80a,KJ 29,Nøvling (Lundegårde),Svedala socken,Jylland,Denmark,Svedala,,,10.4,55.4,HAS_COORDINATES,DUPLICATE_INCORRECT_COORDS - Wrong generic coordinate
